level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1689	2798	-1	
2	1	1	0	0	0	81	168	1233	137	-1	
3	1	1	1	0	0	81	168	1233	131	-1	
4	1	1	1	1	0	81	168	1124	51	-1	
5	1	1	1	1	1	81	171	88	21	23	seme
5	1	1	1	1	2	561	168	313	50	95	Civilization
5	1	1	1	1	3	907	169	90	49	96	lies
5	1	1	1	1	4	1028	168	177	51	96	buried
4	1	1	1	2	0	87	230	1227	75	-1	
5	1	1	1	2	1	87	230	76	75	28	ne
5	1	1	1	2	2	453	236	227	50	96	beneath
5	1	1	1	2	3	710	236	88	50	95	the
5	1	1	1	2	4	829	244	246	54	96	stagnant
5	1	1	1	2	5	1106	252	120	34	95	seas
5	1	1	1	2	6	1256	234	58	51	95	of
2	1	2	0	0	0	60	352	151	21	-1	
3	1	2	1	0	0	60	352	151	21	-1	
4	1	2	1	1	0	60	352	151	21	-1	
5	1	2	1	1	1	60	352	151	21	6	wEUALL'OQP
2	1	3	0	0	0	76	380	109	55	-1	
3	1	3	1	0	0	76	380	109	55	-1	
4	1	3	1	1	0	76	380	109	55	-1	
5	1	3	1	1	1	76	380	109	55	57	F655
2	1	4	0	0	0	5	472	1405	987	-1	
3	1	4	1	0	0	5	442	1442	1011	-1	
4	1	4	1	1	0	721	472	395	265	-1	
5	1	4	1	1	1	56	442	160	57	77	~
5	1	4	1	1	2	721	472	395	265	49	THE
4	1	4	1	2	0	116	759	1294	556	-1	
5	1	4	1	2	1	116	763	182	548	90	_
5	1	4	1	2	2	323	759	1087	556	96	DROWNED
4	1	4	1	3	0	5	1000	1290	459	-1	
5	1	4	1	3	1	5	1000	231	439	60	i
5	1	4	1	3	2	226	1216	200	243	8	~-
5	1	4	1	3	3	553	1133	742	270	96	WORLD
2	1	5	0	0	0	0	1325	1230	398	-1	
3	1	5	1	0	0	0	1325	1230	398	-1	
4	1	5	1	1	0	100	1325	343	152	-1	
5	1	5	1	1	1	100	1325	187	148	39	oy
5	1	5	1	1	2	342	1433	101	44	32	Pea,
4	1	5	1	2	0	0	1482	1230	137	-1	
5	1	5	1	2	1	0	1486	294	141	21	ase
5	1	5	1	2	2	591	1486	220	157	21	JG.
5	1	5	1	2	3	856	1482	374	105	88	BALLARD
4	1	5	1	3	0	58	1614	393	109	-1	
5	1	5	1	3	1	58	1614	91	104	22	ae
5	1	5	1	3	2	397	1615	54	108	0	y
2	1	6	0	0	0	0	1594	1680	1193	-1	
3	1	6	1	0	0	0	1594	1680	1193	-1	
4	1	6	1	1	0	0	1594	1680	1193	-1	
5	1	6	1	1	1	0	1594	1680	1193	95	 
